,term,num_days
0,india vs south africa,1050
1,celtics,1050
2,corinthians,1050
3,ind vs sa,1050
4,cricket score,1050
5,warriors vs celtics,1050
6,nba scores,1050
7,flamengo,1050
8,palmeiras,1050
9,warriors,1050
10,boston celtics,840
11,cricbuzz,840
12,live cricket score,840
13,portugal fc,840
14,pak vs wi,840
15,golden state warriors,840
16,peru vs,630
17,nhl scores,630
18,india result,630
19,live score,630
20,dow jones,630
21,dpboss,630
22,satta matta matka,630
23,matka,630
24,kahoot,630
25,nba,630
26,portugal vs,630
27,pakistan vs west indies,630
28,campeonato brasileiro,630
29,up board result 2022,630
30,マイ ファミリー,630
31,sri lanka vs australia,630
32,brasileirao,630
33,serie a,630
34,cricket live,630
35,office 365,630
36,ilovepdf,630
37,liv golf,420
38,são paulo x américa-mg,420
39,u-23 ả rập saudi đấu với u-23 việt nam,420
40,vasco da gama x cruzeiro,420
41,indonesia vs nepal,420
42,south korea vs egypt,420
43,malaysia vs bangladesh,420
44,chile vs ghana,420
45,cricket,420
46,latina en vivo,420
47,france vs croatia,420
48,google finance,420
49,bitcoin,420
50,inps,420
51,primo,420
52,brasileirão série a,420
53,angelo moriondo,420
54,the boys,420
55,내일 날씨,420
56,resultat legislative 2022,420
57,coritiba x palmeiras,420
58,nupes,420
59,persib,420
60,vasco,420
61,philippines independence day,420
62,ufc 275,420
63,england vs hungary,420
64,한국 대 이집트,420
65,julieta vallina,420
66,www.gseb.org 2022,420
67,nba finals,420
68,france croatie,420
69,mebbis,420
70,i love pdf,420
71,outlook,420
72,flamengo x cuiabá,420
73,sslc result 2022 kerala,420
74,juventude x santos,420
75,rafael nadal,420
76,new zealand vs england,420
77,justin bieber,420
78,serie b,420
79,résultats des élections #législativesfr2022,420
80,legislative 2022,420
81,switzerland vs portugal,420
82,internacional x flamengo,420
83,greve de onibus,420
84,costa rica vs nueva zelanda,420
85,yellowstone national park,420
86,peru australia,420
87,peru vs australia,420
88,france – croatie,420
89,rbse 10th result 2022,420
90,peru,420
91,bitcoin price,420
92,btc,420
93,lauren boebert,420
94,ssc result 2022 maharashtra board,420
95,sarkari result,420
96,flamengo x fortaleza,210
97,argentina vs estonia,210
98,portugal vs switzerland,210
99,u-23 việt nam đấu với u-23 hàn quốc,210
100,مصر ضد غينيا,210
101,wales vs ukraine,210
102,peru vs nueva zelanda,210
103,nadal,210
104,futbol libre,210
105,منتخب مصر,210
106,world environment day,210
107,ios 16,210
108,gmx,210
109,ramsay hunt syndrome,210
110,rebel wilson,210
111,jurassic world,210
112,bragantino x flamengo,210
113,kuwait vs indonesia,210
114,hsc result 2022,210
115,ms marvel,210
116,boca,210
117,matthew mcconaughey,210
118,boris johnson,210
119,zimbabwe vs afghanistan,210
120,patria,210
121,whatsapp web,210
122,mega sena,210
123,nayanthara,210
124,australia vs sri lanka,210
125,justin bieber paralyzed,210
126,jra,210
127,codashop,210
128,formula 1,210
129,ufc,210
130,bath and body works,210
131,rosane kaingang,210
132,france danemark,210
133,محمود عبد العزيز,210
134,tropical storm warning,210
135,vikram,210
136,cruzeiro,210
137,eng vs nz,210
138,gavi,210
139,argentina fc,210
140,mexico vs ecuador,210
141,argentina,210
142,germany vs england,210
143,井上 尚弥,210
144,cooper noriega,210
145,dr. saniya habboub,210
146,zidane,210
147,rangers,210
148,movierulz,210
149,black adam,210
150,japan vs brazil,210
151,fasia jansen,210
152,japão x brasil,210
153,일본 대 브라질,210
154,amazon stock,210
155,kalyan chart,210
156,seleção brasileira,210
157,palmeiras x botafogo,210
158,aamir liaquat,210
159,corinthians x juventude,210
160,nba playoffs,210
161,satyendra nath bose,210
162,キヨシ クロミヤ,210
163,zverev,210
164,mexico vs uruguay,210
165,nations league,210
166,palmeiras x atlético-mg,210
167,argentina vs,210
168,portugal,210
169,dostarlimab,210
170,nhl,210
171,spotify pie,210
172,deepl,210
173,piety,210
174,الدكتورة سنية حبّوب,210
175,britney spears,210
176,f1,210
177,bts,210
178,jurassic world dominion,210
179,west indies vs pakistan,210
180,cuiabá x corinthians,210
181,buienradar,210
182,altın fiyatları,210
183,dolar kaç tl,210
184,dolar kuru,210
185,croatie – france,210
186,gseb,210
187,döviz,210
188,celtics vs warriors,210
189,إثيوبيا ضد مصر,210
190,يلا شوت,210
191,fluminense x atlético-mg,210
192,england vs italy,210
193,atlético-mg x santos,210
194,francesca sanna sulis,210
195,indonesia vs yordania,210
196,steph curry,210
197,kiyoshi kuromiya,210
198,avaí x são paulo,210
199,iga swiatek,210
